exon	hg19_start	hg19_end	hg38_start	hg38_end	Meta_start	Meta_end	PSI	band	domains	length	symmetry_phase	Meta	N2BA	N2B	N2A	Nvx1	Nvx2	Nvx3
1	179672150	179671939	178807423	178807212	NA	NA	100			0		1	1	1	1	1	1	1
2	179669382	179669279	178804655	178804552	1	91	100		Ig_like	91	A_1	2	2	2	2	2	2	2
3	179667068	179666865	178802341	178802138	92	295	100	Z_disk	Ig_like	204	S_1	3	3	3	3	3	3	3
4	179665409	179665122	178800682	178800395	296	583	100	Z_disk	Ig_like	288	S_1	4	4	4	4	4	4	4
5	179664637	179664552	178799910	178799825	584	669	100	Z_disk		86	A_0	5	5	5	5	5	5	5
6	179664458	179664214	178799731	178799487	670	914	100	Z_disk		245	A_2	6	6	6	6	6	6	6
7	179659979	179659649	178795252	178794922	915	1245	100	Z_disk		331	A_0	7	7	7	7	7	7	7
8	179659278	179659126	178794551	178794399	1246	1398	100	Z_disk	Z_repeat	153	S_0	8	8	8	8	8	8	8
9	179658268	179658131	178793541	178793404	1399	1536	100	Z_disk	Z_repeat	138	S_0	9	9	9	9	9	9	9
10	179656924	179656799	178792197	178792072	1537	1662	100	Z_disk	Z_repeat	126	S_0	10	10	10	10	10	10	10
11	179655572	179655435	178790845	178790708	1663	1800	51	Z_disk	Z_repeat	138	S_0	11	11	NA	11	NA	NA	11
12	179654842	179654705	178790115	178789978	1801	1938	79	Z_disk	Z_repeat	138	S_0	12	12	11	12	11	11	12
13	179654224	179654087	178789497	178789360	1939	2076	96	Z_disk	Z_repeat	138	S_0	13	13	12	13	12	12	13
14	179650868	179650575	178786141	178785848	2077	2370	100	Z_disk	Z_repeat	294	S_0	14	14	13	14	13	13	14
15	179650469	179650347	178785742	178785620	2371	2493	99	Z_disk		123	S_0	15	15	14	15	14	14	15
16	179649078	179648797	178784351	178784070	2494	2775	99	near_Z_disk		282	S_0	16	16	15	16	15	15	16
17	179648512	179648447	178783785	178783720	2776	2841	99	near_Z_disk		66	S_0	17	17	16	17	16	16	17
18	179647791	179647533	178783064	178782806	2842	3100	100	near_Z_disk	Ig_like	259	A_1	18	18	17	18	17	17	18
19	179647329	179647266	178782602	178782539	3101	3164	100	near_Z_disk		64	A_2	19	19	18	19	18	18	19
20	179647154	179646939	178782427	178782212	3165	3380	100	near_Z_disk	Ig_like	216	S_2	20	20	19	20	19	19	20
21	179645990	179645848	178781263	178781121	3381	3523	100	near_Z_disk	Ig_like	143	A_1	21	21	20	21	20	20	21
